label,centroid
0,"[-1.92000745 -1.08246816  0.86109689 -0.90037721 -0.2390505   3.66787313
 -1.54148267 -1.01252092  2.01822459  1.69249306  1.21515579 -1.17748146
  0.13281364 -2.3131546  -0.86804345 -2.18466771  1.93331833  0.11892495
 -1.43758049  1.67765579 -1.3001845   1.57189522  1.59244194 -1.01633898
  0.38927402  2.02723719 -1.61193301  0.9657156  -1.82980855  2.11387138
  3.13557332 -3.29819819]"
1,"[ 3.41968536  3.44441851 -3.28118852 -0.36873189  1.00514681 -1.89525672
  3.65710876  2.86370176 -3.19767649 -3.62861544 -2.55678738  1.43281937
 -0.32738147  1.0258089   3.15624147  1.70859965 -3.58526589 -2.86452192
  1.89800083 -3.46211243  3.29556903 -2.67395805 -2.42581244  2.33201734
  1.48705281 -2.50036509  3.31342966 -2.6362004   3.62095507 -1.70149848
 -2.28453131  3.5105896 ]"
2,"[-4.53886127 -4.32270622  4.17856789  3.19019985  3.59533739  0.29572618
 -4.10112715 -4.17383242  4.42388153  4.46022224 -1.79518902 -4.26490498
 -3.55503869 -4.80869818 -4.17957258 -4.70686865  4.56392574  3.84574366
 -3.85793257  4.65383863  0.91324383  4.93793154  4.76557064 -4.52333069
 -1.38546467  5.00629902 -4.49343491  3.27670193 -4.86058903  4.52402258
 -1.31779897  0.44938797]"
3,"[ 0.74817004  0.34197351 -0.51207467 -2.74239704 -0.60956362  3.12727002
  0.84057426  1.98595755 -0.22066435 -0.49628619 -0.30164286 -0.29962591
  0.43403278 -1.68667371  1.27368123 -0.2682855  -0.00438661 -2.66348975
 -0.53843641  0.01486369  0.36272703  0.40020953 -0.67547825  0.00840809
  2.10657338  0.15663694  0.16937353 -0.99086169  0.77064439  1.68344252
  1.74099881 -1.22919192]"
4,"[ 1.75974576  3.44901498 -0.70800479  3.06511974  4.16809495 -2.95209408
  0.9688472  -2.50878064 -1.53874556  0.09161355 -4.14120611  3.55609544
 -2.7124513   3.7105039  -1.05442071  3.69415474 -0.34676385  2.16281859
  4.51082293  0.64647134  4.072855   -0.65310423 -4.11908563  1.99967353
 -1.61027606 -4.04671701  1.5998586  -1.31264075 -1.12911216 -1.92585182
 -4.38135115  0.6765763 ]"
5,"[-1.94862667  1.95959292 -2.27392919  1.21788597 -2.80020162 -0.32795208
 -1.31125892 -1.5926863   2.02792479 -1.23897181  2.36388357  2.06064244
  3.66863652  1.85414545  2.28164251 -1.24672749 -1.49795733 -2.68371723
  1.50726168 -2.01613256 -2.54180567 -2.40025049  0.25218452  2.54685231
 -2.13489372 -0.76256235 -0.2045849   3.00880031 -0.30920807 -2.05537997
  2.23557824 -1.77107379]"
6,"[ 0.90743437 -0.23738825  0.13439926 -2.70128441  0.11893779  3.31201477
  0.9659997   2.21329308 -0.51044068  0.05393007 -0.95419502 -0.94218864
 -0.45915871 -2.38701267  0.54985108 -0.27956839  0.52253323 -1.92178154
 -0.99874821  0.70235987  1.03827076  1.27943687 -0.30465508 -0.7768939
  2.73862953  0.58233562  0.13357887 -1.55076246  0.51375651  2.47926064
  1.1735219  -0.81625013]"
7,"[ 3.70568061  4.1928134  -3.19557905  0.97952431  2.08794284 -3.03575993
  3.68793917  1.29416418 -3.52238488 -3.1843462  -3.23017836  2.38967681
 -1.07656169  2.02172709  2.18388224  2.19450688 -3.4184134  -1.3192569
  2.94385266 -3.03976679  4.11611271 -2.97047186 -2.81636786  2.97900391
  0.51836061 -3.13555598  3.83630133 -2.82281566  2.73818445 -2.70946789
 -3.09563947  3.77860165]"
8,"[ 2.26722688  1.80304014 -2.04098907 -2.22206967 -0.20679437  0.7110201
  2.47323696  3.61575758 -1.75100591 -2.56946065 -1.54323358  0.30281727
  0.46160485 -0.44480071  3.04020045  0.96130863 -2.12641217 -3.9530578
  0.47107172 -2.14285689  1.84684357 -1.06056698 -1.89907602  0.96444379
  2.36262952 -1.35609289  1.65315907 -1.81562424  3.00365389  0.37216344
 -0.51989214  1.46501629]"
9,"[-0.29957151 -0.82191794  0.70988914 -1.95419775  0.16555646  3.57823018
 -0.1217133   0.85698393  0.55919184  0.983653   -0.24120975 -1.23996149
 -0.46007047 -2.6475969  -0.30955212 -1.16061456  1.35920225 -0.85901485
 -1.36158167  1.39036655  0.26748841  1.74583857  0.62634557 -1.15855735
  1.92083699  1.39119789 -0.69219964 -0.56149827 -0.65912512  2.63722147
  1.87924821 -1.77063983]"
